Compound;Time;Labeling;Treatment;N;mean;sd;se
181;Glutamine;30min;L;C;5;42258312;12720513.3226482;5688786.49962661
182;Glutamine;30min;L;Fe;5;20470802;4043783.69636903;1808435.04627731
183;Glutamine;30min;L;P;5;129371526;25891297.9110237;11578940.4309495
184;Glutamine;30min;U;C;5;48142638;7791100.59220262;3484286.10874078
185;Glutamine;30min;U;Fe;5;18887334.2;6783908.55886695;3033856.13815382
186;Glutamine;30min;U;P;5;145085700;29364320.5905568;13132123.3907164
187;Glutamine;60min;L;C;5;45699658;10917624.4467979;4882510.08317075
188;Glutamine;60min;L;Fe;5;16341303.6;4966584.44427907;2221124.0866802
189;Glutamine;60min;L;P;5;128658344;34719181.8993864;15526890.1700416
190;Glutamine;60min;U;C;5;28129740;4612838.58991944;2062924.13125883
191;Glutamine;60min;U;Fe;5;22392230;4556116.48976406;2037557.23690403
192;Glutamine;60min;U;P;5;131376060;16040179.3597516;7173386.28393871
193;Glycine;120min;L;C;5;3051839.8;387010.906599155;173076.539037907
194;Glycine;120min;L;Fe;5;2137576.8;646605.14854987;289170.613351772
195;Glycine;120min;L;P;5;4759800.2;1614014.73485009;721809.332762219
196;Glycine;120min;U;C;5;4593894.2;1749469.36666856;782386.485684882
197;Glycine;120min;U;Fe;5;2100609;169990.892039838;76022.2380313813
198;Glycine;120min;U;P;5;5292323.2;1173902.24196425;524985.042394295
199;Glycine;15min;L;C;5;4107459.6;509538.618647596;227872.597691473
200;Glycine;15min;L;Fe;4;2868650.5;702320.362706602;351160.181353301
201;Glycine;15min;L;P;5;7277507.8;784502.23117605;350840.06348198
202;Glycine;15min;U;C;5;4314305.8;1151809.94258589;515105.065756434
203;Glycine;15min;U;Fe;5;2327848;966573.365627514;432264.750156776
204;Glycine;15min;U;P;5;7558273.2;2546547.44723217;1138850.63998794
205;Glycine;30min;L;C;5;3240072;840825.304269858;376028.50750987
206;Glycine;30min;L;Fe;5;2427111;332895.685840925;148875.476591345
207;Glycine;30min;L;P;5;6060154;1651955.10459849;738776.781931999
208;Glycine;30min;U;C;5;3905255.6;976567.575660947;436734.296760009
209;Glycine;30min;U;Fe;5;2335588.6;749560.466680174;335213.631348667
210;Glycine;30min;U;P;5;6589138;1798132.03390115;804149.092064587
211;Glycine;60min;L;C;5;3094752;797715.131134542;356749.051979399
212;Glycine;60min;L;Fe;5;2340564.6;417386.109232567;186660.742621634
213;Glycine;60min;L;P;5;7290644.4;1247338.50511331;557826.737677265
214;Glycine;60min;U;C;5;3065865.2;787601.602193457;352226.144338463
215;Glycine;60min;U;Fe;5;2746604;298556.450301279;133518.503598939
216;Glycine;60min;U;P;5;4556971.8;662143.856018237;296119.734588122
217;Histidine;120min;L;C;5;1190513.2;247374.92546679;110629.429854537
218;Histidine;120min;L;Fe;5;464228.4;129583.313078112;57951.4193584592
219;Histidine;120min;L;P;5;2633931.6;1067702.57401806;477491.107051178
220;Histidine;120min;U;C;5;1577426;373320.340422271;166953.931713512
221;Histidine;120min;U;Fe;5;818873.4;108076.492917285;48333.2769865649
222;Histidine;120min;U;P;5;3067236.2;1325795.74133676;592913.880381746
223;Histidine;15min;L;C;5;1445558.8;470539.194885718;210431.525168498
224;Histidine;15min;L;Fe;4;580196.75;141749.446605328;70874.7233026639
225;Histidine;15min;L;P;5;3517638.2;895620.112783149;400533.49083983
226;Histidine;15min;U;C;5;1269701.2;450040.382188865;201264.177438858
227;Histidine;15min;U;Fe;5;471650.4;170075.287101918;76059.9806505366
228;Histidine;15min;U;P;5;3202863.2;813018.060106109;363592.729866454
229;Histidine;30min;L;C;5;1137016.4;275094.928846026;123026.192233036
230;Histidine;30min;L;Fe;5;688534.6;257027.579999307;114946.228194143
231;Histidine;30min;L;P;5;2948636.6;1261527.95394644;564172.452108094
232;Histidine;30min;U;C;5;1495516.2;225563.201530524;100874.930368947
233;Histidine;30min;U;Fe;5;582282.8;263343.598871702;117770.837703313
234;Histidine;30min;U;P;5;3383853.6;590386.841857354;264029.022282892
235;Histidine;60min;L;C;5;1155377.8;262397.753291068;117347.842700409
