"metabolite";"derivative";"isotopologue";"sample";"area"
"275";"Oxoglutarate";"3NPH";1;"021_O4.cdf";4101837.71597633
"276";"Oxoglutarate";"3NPH";2;"021_O4.cdf";734326.118343195
"277";"Oxoglutarate";"3NPH";3;"021_O4.cdf";105213.573964497
"278";"Oxoglutarate";"3NPH";4;"021_O4.cdf";5783.18343195266
"279";"Oxoglutarate";"3NPH";5;"021_O4.cdf";0
"280";"Aconitate";"3NPH";0;"021_O4.cdf";3435.07692307692
"281";"Aconitate";"3NPH";1;"021_O4.cdf";1000.40236686391
"282";"Aconitate";"3NPH";2;"021_O4.cdf";453.390532544379
"283";"Aconitate";"3NPH";3;"021_O4.cdf";0
"284";"Aconitate";"3NPH";4;"021_O4.cdf";0
"285";"Aconitate";"3NPH";5;"021_O4.cdf";0
"286";"Aconitate";"3NPH";6;"021_O4.cdf";0
"287";"Glycerate";"NPH";0;"021_O4.cdf";190794.130177515
"288";"Glycerate";"NPH";1;"021_O4.cdf";17484.8816568047
"289";"Glycerate";"NPH";2;"021_O4.cdf";2616.26627218935
"290";"Glycerate";"NPH";3;"021_O4.cdf";252.96449704142
"291";"Glycolate";"NPH";0;"021_O4.cdf";23980.4023668639
"292";"Glycolate";"NPH";1;"021_O4.cdf";0
"293";"Glycolate";"NPH";2;"021_O4.cdf";0
"294";"Hydroxyglutarate";"2NPH";0;"021_O4.cdf";23373.0650887574
"295";"Hydroxyglutarate";"2NPH";1;"021_O4.cdf";4618.29585798817
"296";"Hydroxyglutarate";"2NPH";2;"021_O4.cdf";515.118343195266
"297";"Hydroxyglutarate";"2NPH";3;"021_O4.cdf";0
"298";"Hydroxyglutarate";"2NPH";4;"021_O4.cdf";0
"299";"Hydroxyglutarate";"2NPH";5;"021_O4.cdf";0
"300";"Oxalate";"2NPH";0;"021_O4.cdf";8671247.43786982
"301";"Oxalate";"2NPH";1;"021_O4.cdf";1482684.74556213
"302";"Oxalate";"2NPH";2;"021_O4.cdf";187836.088757396
"303";"Itaconate";"2NPH";0;"021_O4.cdf";1452.94082840237
"304";"Itaconate";"2NPH";1;"021_O4.cdf";0
"305";"Itaconate";"2NPH";2;"021_O4.cdf";0
"306";"Itaconate";"2NPH";3;"021_O4.cdf";90.1775147928994
"307";"Itaconate";"2NPH";4;"021_O4.cdf";45066.2189349112
"308";"Itaconate";"2NPH";5;"021_O4.cdf";9637.20710059172
"309";"Lactate";"NPH";0;"022_O5.cdf";0
"310";"Lactate";"NPH";1;"022_O5.cdf";0
"311";"Lactate";"NPH";2;"022_O5.cdf";0
"312";"Lactate";"NPH";3;"022_O5.cdf";0
"313";"Pyruvate";"2NPH";0;"022_O5.cdf";453958.817204301
"314";"Pyruvate";"2NPH";1;"022_O5.cdf";70717.2759856631
"315";"Pyruvate";"2NPH";2;"022_O5.cdf";9468.16487455197
"316";"Pyruvate";"2NPH";3;"022_O5.cdf";1417.10394265233
"317";"Fumarate";"2NPH";0;"022_O5.cdf";834646.265232975
"318";"Fumarate";"2NPH";1;"022_O5.cdf";142712.286738351
"319";"Fumarate";"2NPH";2;"022_O5.cdf";19393.0035842294
"320";"Fumarate";"2NPH";3;"022_O5.cdf";1898.20071684588
"321";"Fumarate";"2NPH";4;"022_O5.cdf";0
"322";"Succinate";"2NPH";0;"022_O5.cdf";2480578.99641577
"323";"Succinate";"2NPH";1;"022_O5.cdf";433444.35125448
"324";"Succinate";"2NPH";2;"022_O5.cdf";58997.7634408602
"325";"Succinate";"2NPH";3;"022_O5.cdf";7606.37992831541
"326";"Succinate";"2NPH";4;"022_O5.cdf";0
"327";"Malate";"2NPH";0;"022_O5.cdf";19102497.8637993
"328";"Malate";"2NPH";1;"022_O5.cdf";5012481.1469534
"329";"Malate";"2NPH";2;"022_O5.cdf";734101.268817204
"330";"Malate";"2NPH";3;"022_O5.cdf";82674.1577060932
"331";"Malate";"2NPH";4;"022_O5.cdf";0
"332";"Isocitrate";"2NPH";0;"022_O5.cdf";108208.53046595
