metabolite	derivative	isotopologue	sample	area
Pyruvate	2NPH	2	021_O4.cdf	6476.97041420118
Pyruvate	2NPH	3	021_O4.cdf	768.834319526627
Fumarate	2NPH	0	021_O4.cdf	412571.905325444
Fumarate	2NPH	1	021_O4.cdf	72560.3017751479
Fumarate	2NPH	2	021_O4.cdf	11024.7396449704
Fumarate	2NPH	3	021_O4.cdf	1139.03550295858
Fumarate	2NPH	4	021_O4.cdf	0
Succinate	2NPH	0	021_O4.cdf	1033797.98816568
Succinate	2NPH	1	021_O4.cdf	174586.840236686
Succinate	2NPH	2	021_O4.cdf	25605.7100591716
Succinate	2NPH	3	021_O4.cdf	3308.72189349112
Succinate	2NPH	4	021_O4.cdf	0
Malate	2NPH	0	021_O4.cdf	14528872.5029586
Malate	2NPH	1	021_O4.cdf	3709496.13609467
Malate	2NPH	2	021_O4.cdf	546392.532544379
Malate	2NPH	3	021_O4.cdf	61988.1952662722
Malate	2NPH	4	021_O4.cdf	99.3846153846154
Isocitrate	2NPH	0	021_O4.cdf	86296.9822485207
Isocitrate	2NPH	1	021_O4.cdf	16675.325443787
Isocitrate	2NPH	2	021_O4.cdf	3475.26035502959
Isocitrate	2NPH	3	021_O4.cdf	606.284023668639
Isocitrate	2NPH	4	021_O4.cdf	405.976331360947
Isocitrate	2NPH	5	021_O4.cdf	891.923076923077
Isocitrate	2NPH	6	021_O4.cdf	0
Citrate	2NPH	0	021_O4.cdf	2475710.24260355
Citrate	2NPH	1	021_O4.cdf	486071.822485207
Citrate	2NPH	2	021_O4.cdf	93335.5680473373
Citrate	2NPH	3	021_O4.cdf	12384.2662721894
Citrate	2NPH	4	021_O4.cdf	0
Citrate	2NPH	5	021_O4.cdf	0
Citrate	2NPH	6	021_O4.cdf	0
Oxaloacetate	2NPH	0	021_O4.cdf	5050.37278106509
Oxaloacetate	2NPH	1	021_O4.cdf	1690.11834319527
Oxaloacetate	2NPH	2	021_O4.cdf	135.449704142012
Oxaloacetate	2NPH	3	021_O4.cdf	0
Oxaloacetate	2NPH	4	021_O4.cdf	0
Oxoglutarate	3NPH	0	021_O4.cdf	14093314.6272189
Oxoglutarate	3NPH	1	021_O4.cdf	4101837.71597633
Oxoglutarate	3NPH	2	021_O4.cdf	734326.118343195
Oxoglutarate	3NPH	3	021_O4.cdf	105213.573964497
Oxoglutarate	3NPH	4	021_O4.cdf	5783.18343195266
Oxoglutarate	3NPH	5	021_O4.cdf	0
Aconitate	3NPH	0	021_O4.cdf	3435.07692307692
Aconitate	3NPH	1	021_O4.cdf	1000.40236686391
Aconitate	3NPH	2	021_O4.cdf	453.390532544379
Aconitate	3NPH	3	021_O4.cdf	0
Aconitate	3NPH	4	021_O4.cdf	0
Aconitate	3NPH	5	021_O4.cdf	0
Aconitate	3NPH	6	021_O4.cdf	0
Glycerate	NPH	0	021_O4.cdf	190794.130177515
Glycerate	NPH	1	021_O4.cdf	17484.8816568047
Glycerate	NPH	2	021_O4.cdf	2616.26627218935
Glycerate	NPH	3	021_O4.cdf	252.96449704142
Glycolate	NPH	0	021_O4.cdf	23980.4023668639
Glycolate	NPH	1	021_O4.cdf	0
Glycolate	NPH	2	021_O4.cdf	0
Hydroxyglutarate	2NPH	0	021_O4.cdf	23373.0650887574
Hydroxyglutarate	2NPH	1	021_O4.cdf	4618.29585798817
Hydroxyglutarate	2NPH	2	021_O4.cdf	515.118343195266
Hydroxyglutarate	2NPH	3	021_O4.cdf	0
Hydroxyglutarate	2NPH	4	021_O4.cdf	0
Hydroxyglutarate	2NPH	5	021_O4.cdf	0
Oxalate	2NPH	0	021_O4.cdf	8671247.43786982
Oxalate	2NPH	1	021_O4.cdf	1482684.74556213
Oxalate	2NPH	2	021_O4.cdf	187836.088757396
Itaconate	2NPH	0	021_O4.cdf	1452.94082840237
Itaconate	2NPH	1	021_O4.cdf	0
Itaconate	2NPH	2	021_O4.cdf	0
Itaconate	2NPH	3	021_O4.cdf	90.1775147928994
Itaconate	2NPH	4	021_O4.cdf	45066.2189349112
Itaconate	2NPH	5	021_O4.cdf	9637.20710059172
Lactate	NPH	0	022_O5.cdf	0
Lactate	NPH	1	022_O5.cdf	0
Lactate	NPH	2	022_O5.cdf	0
