metabolite	derivative	isotopologue	sample	area
Methionine	AccQ	1	020_A3.cdf	57892.8532046864
Methionine	AccQ	2	020_A3.cdf	13980.2136457615
Methionine	AccQ	3	020_A3.cdf	0
Methionine	AccQ	4	020_A3.cdf	0
Methionine	AccQ	5	020_A3.cdf	0
Norvaline	AccQ	0	020_A3.cdf	209240.089593384
Norvaline	AccQ	1	020_A3.cdf	48994.1281874569
Norvaline	AccQ	2	020_A3.cdf	7035.75465196416
Norvaline	AccQ	3	020_A3.cdf	1275.3066850448
Norvaline	AccQ	4	020_A3.cdf	0
Norvaline	AccQ	5	020_A3.cdf	0
Phenylalanine	AccQ	0	020_A3.cdf	1537286.21640248
Phenylalanine	AccQ	1	020_A3.cdf	327628.035837354
Phenylalanine	AccQ	2	020_A3.cdf	51950.4066161268
Phenylalanine	AccQ	3	020_A3.cdf	6607.64300482426
Phenylalanine	AccQ	4	020_A3.cdf	0
Phenylalanine	AccQ	5	020_A3.cdf	0
Phenylalanine	AccQ	6	020_A3.cdf	0
Phenylalanine	AccQ	7	020_A3.cdf	0
Phenylalanine	AccQ	8	020_A3.cdf	0
Phenylalanine	AccQ	9	020_A3.cdf	0
Proline	AccQ	0	020_A3.cdf	592647.973811165
Proline	AccQ	1	020_A3.cdf	118596.16815989
Proline	AccQ	2	020_A3.cdf	16323.2115782219
Proline	AccQ	3	020_A3.cdf	3312.66023432116
Proline	AccQ	4	020_A3.cdf	0
Proline	AccQ	5	020_A3.cdf	0
Serine	AccQ	0	020_A3.cdf	1064491.36457615
Serine	AccQ	1	020_A3.cdf	166782.736044108
Serine	AccQ	2	020_A3.cdf	24743.7008959338
Serine	AccQ	3	020_A3.cdf	1993.95589248794
Threonine	AccQ	0	020_A3.cdf	1386653.43900758
Threonine	AccQ	1	020_A3.cdf	220555.913163336
Threonine	AccQ	2	020_A3.cdf	35862.9359062715
Threonine	AccQ	3	020_A3.cdf	5749.68986905582
Threonine	AccQ	4	020_A3.cdf	0
Tryptophan	AccQ	0	020_A3.cdf	425320.971743625
Tryptophan	AccQ	1	020_A3.cdf	122355.968297726
Tryptophan	AccQ	2	020_A3.cdf	18368.3735354928
Tryptophan	AccQ	3	020_A3.cdf	2638.7250172295
Tryptophan	AccQ	4	020_A3.cdf	0
Tryptophan	AccQ	5	020_A3.cdf	0
Tryptophan	AccQ	6	020_A3.cdf	0
Tryptophan	AccQ	7	020_A3.cdf	0
Tryptophan	AccQ	8	020_A3.cdf	0
Tryptophan	AccQ	9	020_A3.cdf	0
Tryptophan	AccQ	10	020_A3.cdf	0
Tryptophan	AccQ	11	020_A3.cdf	0
Tyrosine	AccQ	0	020_A3.cdf	424371.743625086
Tyrosine	AccQ	1	020_A3.cdf	107547.698139214
