metabolite;Time;Labeling;Treatment;N;mean;sd;se
183;Itaconate;60;L;P;5;0.638114101465137;0.0567372768452977;0.0253736815768621
184;Itaconate;60;U;C;5;0.769164719810864;0.0112532173369588;0.0050325917862038
185;Itaconate;60;U;Fe;5;0.744750082908691;0.0441833587256528;0.0197593987169636
186;Itaconate;60;U;P;5;0.676300809764503;0.010616527948431;0.00474785563554364
187;Itaconate;120;L;C;5;0.783276541948574;0.0115325481365427;0.00515751231741962
188;Itaconate;120;L;Fe;5;0.766827256816903;0.0360434903397904;0.0161191389092257
189;Itaconate;120;L;P;5;0.667593261380127;0.0444084393436299;0.0198600578294065
190;Itaconate;120;U;C;5;0.779082089001117;0.012339101612283;0.00551821399726839
191;Itaconate;120;U;Fe;5;0.761802557529181;0.0113111882933389;0.00505851718604113
192;Itaconate;120;U;P;5;0.64450552482038;0.01492232270387;0.00667346558960836
193;Lactate;15;L;C;5;1.1490633087519e-07;0;0
194;Lactate;15;L;Fe;4;1.1490633087519e-07;0;0
195;Lactate;15;L;P;5;1.1490633087519e-07;0;0
196;Lactate;15;U;C;5;1.1490633087519e-07;0;0
197;Lactate;15;U;Fe;5;1.1490633087519e-07;0;0
198;Lactate;15;U;P;4;1.1490633087519e-07;0;0
199;Lactate;30;L;C;4;1.1490633087519e-07;0;0
200;Lactate;30;L;Fe;5;1.1490633087519e-07;0;0
201;Lactate;30;L;P;5;1.1490633087519e-07;0;0
202;Lactate;30;U;C;5;1.1490633087519e-07;0;0
203;Lactate;30;U;Fe;5;1.1490633087519e-07;0;0
204;Lactate;30;U;P;5;1.1490633087519e-07;0;0
205;Lactate;60;L;C;5;1.1490633087519e-07;0;0
206;Lactate;60;L;Fe;5;1.1490633087519e-07;0;0
207;Lactate;60;L;P;5;1.1490633087519e-07;0;0
208;Lactate;60;U;C;5;1.1490633087519e-07;0;0
209;Lactate;60;U;Fe;5;1.1490633087519e-07;0;0
210;Lactate;60;U;P;5;1.1490633087519e-07;0;0
211;Lactate;120;L;C;5;1.1490633087519e-07;0;0
212;Lactate;120;L;Fe;5;1.1490633087519e-07;0;0
213;Lactate;120;L;P;5;1.1490633087519e-07;0;0
214;Lactate;120;U;C;5;0.000358508772731614;0.00080139304799103;0.000358393866400739
215;Lactate;120;U;Fe;5;1.1490633087519e-07;0;0
216;Lactate;120;U;P;5;1.1490633087519e-07;0;0
217;Malate;15;L;C;5;0.0154833920633932;0.000964069443748427;0.000431144962250379
218;Malate;15;L;Fe;4;0.00778833033317616;0.00379985412478128;0.00189992706239064
219;Malate;15;L;P;5;0.00670793262635137;0.0015441035112318;0.000690544083082085
220;Malate;15;U;C;5;0.0146538053056953;0.00132660512251315;0.000593275846647769
221;Malate;15;U;Fe;5;0.00883983820337199;0.00122555174211709;0.00054808340106342
222;Malate;15;U;P;4;0.00790233775175803;0.002054084696045;0.0010270423480225
223;Malate;30;L;C;4;0.0143243307794696;0.00172119659343023;0.000860598296715116
224;Malate;30;L;Fe;5;0.00809313070871254;0.00458280003090156;0.0020494904792768
225;Malate;30;L;P;5;0.00983353820437598;0.00364457736093131;0.00162990454565984
226;Malate;30;U;C;5;0.01541832623718;0.00112819698792114;0.000504545031400437
227;Malate;30;U;Fe;5;0.00997728509622284;0.00262151975265032;0.00117237927425691
228;Malate;30;U;P;5;0.00913281524962458;0.00370427562157991;0.00165660241944959
229;Malate;60;L;C;5;0.015995396299705;0.00268204923204782;0.001199448880372
230;Malate;60;L;Fe;5;0.0102328245213514;0.00370425443924425;0.0016565929464211
231;Malate;60;L;P;5;0.00910918906390223;0.00204992948368891;0.00091675633492189
232;Malate;60;U;C;5;0.0135042301554126;0.00377331726624178;0.00168747878159806
233;Malate;60;U;Fe;5;0.0126579359679062;0.00227330786326404;0.00101665418320864
234;Malate;60;U;P;5;0.0112508870162396;0.00148169716514794;0.000662635116667905
235;Malate;120;L;C;5;0.0162922553915632;0.00116141929075747;0.000519402496902659
236;Malate;120;L;Fe;5;0.0120579959843402;0.00284593084160228;0.00127273896421718
237;Malate;120;L;P;5;0.00997749960074189;0.00390152802342232;0.00174481637529854
238;Malate;120;U;C;5;0.0162865272306859;0.00118163674168377;0.000528444015823256
239;Malate;120;U;Fe;5;0.00965216511665221;0.00309398199348656;0.00138367081171925
240;Malate;120;U;P;5;0.0105327858400472;0.00171377109601742;0.000766421733713853
241;Oxalate;15;L;C;5;1.1490633087519e-07;0;0
242;Oxalate;15;L;Fe;4;1.1490633087519e-07;0;0
243;Oxalate;15;L;P;5;0.00112356176919732;0.00202265186031712;0.0009045574108971
244;Oxalate;15;U;C;5;1.1490633087519e-07;0;0
245;Oxalate;15;U;Fe;5;1.1490633087519e-07;0;0
246;Oxalate;15;U;P;4;4.66225482132177e-06;9.09469698089316e-06;4.54734849044658e-06
247;Oxalate;30;L;C;4;1.1490633087519e-07;0;0
248;Oxalate;30;L;Fe;5;1.1490633087519e-07;0;0
249;Oxalate;30;L;P;5;0.000380628403351988;0.000850854045695372;0.000380513497021113
250;Oxalate;30;U;C;5;1.1490633087519e-07;0;0
251;Oxalate;30;U;Fe;5;1.1490633087519e-07;0;0
252;Oxalate;30;U;P;5;7.26807713440992e-05;0.000162262207015642;7.2565865013224e-05
253;Oxalate;60;L;C;5;0.000430941495261383;0.000592933140620735;0.000265167761708081
254;Oxalate;60;L;Fe;5;0.000555389971479193;0.000507343537143044;0.000226890927399407
255;Oxalate;60;L;P;5;0.00421921760349874;0.00443683174667076;0.00198421147805699
256;Oxalate;60;U;C;5;1.1490633087519e-07;0;0
257;Oxalate;60;U;Fe;5;1.1490633087519e-07;0;0
258;Oxalate;60;U;P;5;1.1490633087519e-07;0;0
259;Oxalate;120;L;C;5;0.00198111470990553;0.00137505985954568;0.000614945463815093
260;Oxalate;120;L;Fe;5;0.000986366892068284;0.000977055081241481;0.000436952315883506
261;Oxalate;120;L;P;5;0.00144194559350423;0.00190828638717969;0.000853411616454253
262;Oxalate;120;U;C;5;2.83410424102424e-05;6.31155590156244e-05;2.82261360793672e-05
263;Oxalate;120;U;Fe;5;1.1490633087519e-07;0;0
264;Oxalate;120;U;P;5;1.1490633087519e-07;0;0
265;Oxaloacetate;15;L;C;5;0.113754272400919;0.0689058784066358;0.0308156456333145
266;Oxaloacetate;15;L;Fe;4;0.0505062408169049;0.0139452396429424;0.00697261982147122
267;Oxaloacetate;15;L;P;5;0.136075457676217;0.0506176710481859;0.0226369106652933
268;Oxaloacetate;15;U;C;5;0.0362465331285134;0.010808876414475;0.00483387648463206
269;Oxaloacetate;15;U;Fe;5;0.044860788806267;0.0187990790362714;0.00840720372789882
270;Oxaloacetate;15;U;P;4;0.101591211196521;0.0293196061495642;0.0146598030747821
271;Oxaloacetate;30;L;C;4;0.0950691808170851;0.0881776643360483;0.0440888321680242
272;Oxaloacetate;30;L;Fe;5;0.0465582839562091;0.00865697778008906;0.00387151815919687
273;Oxaloacetate;30;L;P;5;0.0658055791904777;0.0154469798351369;0.0069080993916869
274;Oxaloacetate;30;U;C;5;0.0120987203931813;0.00847249773070651;0.00378901617301449
275;Oxaloacetate;30;U;Fe;5;0.0443141722653134;0.0134974217466244;0.00603623050928723
276;Oxaloacetate;30;U;P;5;0.0874534747661205;0.0396191930168499;0.0177182417598723
277;Oxaloacetate;60;L;C;5;0.0674095913054033;0.0238083674189709;0.010647425596422
278;Oxaloacetate;60;L;Fe;5;0.0373143166488147;0.00912138993038857;0.00407920958672618
279;Oxaloacetate;60;L;P;5;0.127395682756207;0.0435760654964299;0.0194878089284001
280;Oxaloacetate;60;U;C;5;0.0305358412614342;0.0146156864490092;0.00653633368756141
281;Oxaloacetate;60;U;Fe;5;0.0427383043692565;0.00603101406486421;0.00269715148445874
282;Oxaloacetate;60;U;P;5;0.0454357919737002;0.0142868004887122;0.00638925141474752
283;Oxaloacetate;120;L;C;5;0.0243536871024577;0.00226892035848866;0.00101469203142277
284;Oxaloacetate;120;L;Fe;5;0.0394228662129183;0.00420642946576644;0.00188117244560238
285;Oxaloacetate;120;L;P;5;0.0374232344464835;0.0121027590978203;0.00541251841160605
286;Oxaloacetate;120;U;C;5;0.0410760338293466;0.0131470730207791;0.00587954979592314
287;Oxaloacetate;120;U;Fe;5;0.0360879898567163;0.00606609948512402;0.00271284216140276
288;Oxaloacetate;120;U;P;5;0.0408819757182976;0.00632259098265829;0.00282754864623023
289;Oxoglutarate;15;L;C;5;0.00165306444630647;0.000135702843329592;6.06881564849945e-05
290;Oxoglutarate;15;L;Fe;4;0.000337428710622504;0.000417337650948764;0.000208668825474382
291;Oxoglutarate;15;L;P;5;0.00194546765873374;0.000415623924228445;0.000185872669530005
292;Oxoglutarate;15;U;C;5;0.00101805574908764;0.00037725996660338;0.000168715786102892
293;Oxoglutarate;15;U;Fe;5;1.1490633087519e-07;0;0
294;Oxoglutarate;15;U;P;4;0.00102626667951086;0.000504158732028276;0.000252079366014138
295;Oxoglutarate;30;L;C;4;0.00199145949514084;0.00137868530945204;0.000689342654726019
296;Oxoglutarate;30;L;Fe;5;0.000943125678522712;0.00162408711836679;0.000726313839609976
297;Oxoglutarate;30;L;P;5;0.00252831384262253;0.000756600864974819;0.000338362193183767
298;Oxoglutarate;30;U;C;5;0.00243048825230007;0.000305106803611817;0.00013644791065474
299;Oxoglutarate;30;U;Fe;5;1.1490633087519e-07;0;0
300;Oxoglutarate;30;U;P;5;0.00314069274006242;0.000482010458367074;0.000215561630154922
301;Oxoglutarate;60;L;C;5;0.00402973500168657;0.00167847010007383;0.000750634648393191
302;Oxoglutarate;60;L;Fe;5;0.00153324539032963;0.00090768507501347;0.000405929105978423
303;Oxoglutarate;60;L;P;5;0.0037804622405243;0.000933855731383249;0.000417632979310146
304;Oxoglutarate;60;U;C;5;0.00271244747061531;0.0024539557783016;0.00109744238681216
305;Oxoglutarate;60;U;Fe;5;1.78981097812502e-05;3.97644517727474e-05;1.7783203450375e-05
306;Oxoglutarate;60;U;P;5;0.00217633942564559;0.0019144448064072;0.000856165745259584
307;Oxoglutarate;120;L;C;5;0.00569221661170236;0.000476255563347312;0.000212987962861409
308;Oxoglutarate;120;L;Fe;5;0.00531741766812879;0.00287447223100933;0.00128550306159447
309;Oxoglutarate;120;L;P;5;0.00315334453848343;0.00199608572014743;0.000892676671833255
310;Oxoglutarate;120;U;C;5;0.00433064447315877;0.00255839998436619;0.00114415125573544
311;Oxoglutarate;120;U;Fe;5;1.1490633087519e-07;0;0
312;Oxoglutarate;120;U;P;5;0.00502899880791844;0.000799892348878047;0.000357722733354658
313;Pyruvate;15;L;C;5;1.1490633087519e-07;0;0
314;Pyruvate;15;L;Fe;4;0.00091725721065491;0.00109321203135891;0.000546606015679456
315;Pyruvate;15;L;P;5;0.0011655401376084;0.00260597003982996;0.00116542523127753
316;Pyruvate;15;U;C;5;1.86535571176262e-05;4.14536833703052e-05;1.8538650786751e-05
317;Pyruvate;15;U;Fe;5;1.87016529584666e-05;4.15612289398593e-05;1.85867466275914e-05
318;Pyruvate;15;U;P;4;1.24653967659266e-05;2.47009808701028e-05;1.23504904350514e-05
319;Pyruvate;30;L;C;4;1.1490633087519e-07;0;0
320;Pyruvate;30;L;Fe;5;0.000556094618204214;0.00124320842985953;0.000555979711873339
321;Pyruvate;30;L;P;5;0.00121682504168764;0.00129470594442341;0.00057901010052076
322;Pyruvate;30;U;C;5;1.1490633087519e-07;0;0
323;Pyruvate;30;U;Fe;5;1.1490633087519e-07;0;0
324;Pyruvate;30;U;P;5;1.1490633087519e-07;0;0
325;Pyruvate;60;L;C;5;1.1490633087519e-07;0;0
326;Pyruvate;60;L;Fe;5;2.15003558430548e-05;4.78193188386232e-05;2.13854495121796e-05
327;Pyruvate;60;L;P;5;0.000822896729318783;0.000725606782162179;0.000324501217969903
328;Pyruvate;60;U;C;5;1.1490633087519e-07;0;0
329;Pyruvate;60;U;Fe;5;8.40280269896515e-05;0.000138588954801653;6.19788647734282e-05
330;Pyruvate;60;U;P;5;0.00011464199334973;0.000256090351839194;0.000114527087018855
331;Pyruvate;120;L;C;5;2.1123943958901e-05;4.69776362781165e-05;2.10090376280258e-05
332;Pyruvate;120;L;Fe;5;0.000865453594008295;0.00102022447448181;0.000456258255450064
333;Pyruvate;120;L;P;5;0.000646933946457781;0.000939679039370762;0.000420237241812945
334;Pyruvate;120;U;C;5;6.05794713530777e-06;1.32890432317663e-05;5.94304080443258e-06
335;Pyruvate;120;U;Fe;5;1.1490633087519e-07;0;0
