"metabolite";"derivative";"isotopologue";"sample";"area"
"180";"Glutamine";"AccQ";4;"019_A2.cdf";913.152094048494
"181";"Glutamine";"AccQ";5;"019_A2.cdf";0
"182";"Glycine";"AccQ";0;"019_A2.cdf";282266.936076414
"183";"Glycine";"AccQ";1;"019_A2.cdf";49785.5767817781
"184";"Glycine";"AccQ";2;"019_A2.cdf";5286.95077149155
"185";"Histidine";"AccQ";0;"019_A2.cdf";47204.2909625276
"186";"Histidine";"AccQ";1;"019_A2.cdf";8443.76193975018
"187";"Histidine";"AccQ";2;"019_A2.cdf";281.770756796473
"188";"Histidine";"AccQ";3;"019_A2.cdf";0
"189";"Histidine";"AccQ";4;"019_A2.cdf";0
"190";"Histidine";"AccQ";5;"019_A2.cdf";0
"191";"Histidine";"AccQ";6;"019_A2.cdf";0
"192";"Isoleucine";"AccQ";0;"019_A2.cdf";3933958.59662013
"193";"Isoleucine";"AccQ";1;"019_A2.cdf";863410.337986774
"194";"Isoleucine";"AccQ";2;"019_A2.cdf";131657.193240265
"195";"Isoleucine";"AccQ";3;"019_A2.cdf";15560.9992652461
"196";"Isoleucine";"AccQ";4;"019_A2.cdf";479.735488611315
"197";"Isoleucine";"AccQ";5;"019_A2.cdf";0
"198";"Isoleucine";"AccQ";6;"019_A2.cdf";0
"199";"Leucine";"AccQ";0;"019_A2.cdf";1796316.85525349
"200";"Leucine";"AccQ";1;"019_A2.cdf";323963.732549596
"201";"Leucine";"AccQ";2;"019_A2.cdf";48712.4467303453
"202";"Leucine";"AccQ";3;"019_A2.cdf";5992.56429096253
"203";"Leucine";"AccQ";4;"019_A2.cdf";0
"204";"Leucine";"AccQ";5;"019_A2.cdf";0
"205";"Leucine";"AccQ";6;"019_A2.cdf";0
"206";"Lysine";"AccQ";0;"019_A2.cdf";208809.772226304
"207";"Lysine";"AccQ";1;"019_A2.cdf";70664.3056576047
"208";"Lysine";"AccQ";2;"019_A2.cdf";11849.2285084497
"209";"Lysine";"AccQ";3;"019_A2.cdf";1550
"210";"Lysine";"AccQ";4;"019_A2.cdf";0
"211";"Lysine";"AccQ";5;"019_A2.cdf";0
"212";"Lysine";"AccQ";6;"019_A2.cdf";0
"213";"Methionine";"AccQ";0;"019_A2.cdf";257159.853049229
"214";"Methionine";"AccQ";1;"019_A2.cdf";55371.4254224835
"215";"Methionine";"AccQ";2;"019_A2.cdf";13438.3100661278
"216";"Methionine";"AccQ";3;"019_A2.cdf";0
"217";"Methionine";"AccQ";4;"019_A2.cdf";0
"218";"Methionine";"AccQ";5;"019_A2.cdf";0
"219";"Norvaline";"AccQ";0;"019_A2.cdf";239909.052167524
"220";"Norvaline";"AccQ";1;"019_A2.cdf";52785.4665686995
"221";"Norvaline";"AccQ";2;"019_A2.cdf";7665.51800146951
"222";"Norvaline";"AccQ";3;"019_A2.cdf";1607.66348273328
"223";"Norvaline";"AccQ";4;"019_A2.cdf";0
"224";"Norvaline";"AccQ";5;"019_A2.cdf";0
"225";"Phenylalanine";"AccQ";0;"019_A2.cdf";1424899.87509184
"226";"Phenylalanine";"AccQ";1;"019_A2.cdf";309073.365172667
"227";"Phenylalanine";"AccQ";2;"019_A2.cdf";50840.5216752388
"228";"Phenylalanine";"AccQ";3;"019_A2.cdf";6761.74871418075
"229";"Phenylalanine";"AccQ";4;"019_A2.cdf";0
"230";"Phenylalanine";"AccQ";5;"019_A2.cdf";0
"231";"Phenylalanine";"AccQ";6;"019_A2.cdf";0
"232";"Phenylalanine";"AccQ";7;"019_A2.cdf";0
"233";"Phenylalanine";"AccQ";8;"019_A2.cdf";0
"234";"Phenylalanine";"AccQ";9;"019_A2.cdf";0
"235";"Proline";"AccQ";0;"019_A2.cdf";873342.740631888
"236";"Proline";"AccQ";1;"019_A2.cdf";163077.038941954
"237";"Proline";"AccQ";2;"019_A2.cdf";24002.4246877296
"238";"Proline";"AccQ";3;"019_A2.cdf";3513.26230712711
"239";"Proline";"AccQ";4;"019_A2.cdf";0
"240";"Proline";"AccQ";5;"019_A2.cdf";0
"241";"Serine";"AccQ";0;"019_A2.cdf";1055517.9426892
"242";"Serine";"AccQ";1;"019_A2.cdf";170835.437178545
"243";"Serine";"AccQ";2;"019_A2.cdf";24583.5709037472
"244";"Serine";"AccQ";3;"019_A2.cdf";1895.01102130786
"245";"Threonine";"AccQ";0;"019_A2.cdf";1635619.92652461
"246";"Threonine";"AccQ";1;"019_A2.cdf";274005.356355621
"247";"Threonine";"AccQ";2;"019_A2.cdf";42832.7332843497
"248";"Threonine";"AccQ";3;"019_A2.cdf";5191.68993387215
"249";"Threonine";"AccQ";4;"019_A2.cdf";0
"250";"Tryptophan";"AccQ";0;"019_A2.cdf";264162.255694342
"251";"Tryptophan";"AccQ";1;"019_A2.cdf";75817.1638501102
"252";"Tryptophan";"AccQ";2;"019_A2.cdf";11552.6230712711
"253";"Tryptophan";"AccQ";3;"019_A2.cdf";2173.71785451874
"254";"Tryptophan";"AccQ";4;"019_A2.cdf";0
"255";"Tryptophan";"AccQ";5;"019_A2.cdf";0
"256";"Tryptophan";"AccQ";6;"019_A2.cdf";0
"257";"Tryptophan";"AccQ";7;"019_A2.cdf";0
"258";"Tryptophan";"AccQ";8;"019_A2.cdf";0
"259";"Tryptophan";"AccQ";9;"019_A2.cdf";0
"260";"Tryptophan";"AccQ";10;"019_A2.cdf";0
"261";"Tryptophan";"AccQ";11;"019_A2.cdf";0
"262";"Tyrosine";"AccQ";0;"019_A2.cdf";320787.847171198
"263";"Tyrosine";"AccQ";1;"019_A2.cdf";84579.1844232182
"264";"Tyrosine";"AccQ";2;"019_A2.cdf";13545.268185158
"265";"Tyrosine";"AccQ";3;"019_A2.cdf";2427.72961058046
"266";"Tyrosine";"AccQ";4;"019_A2.cdf";0
"267";"Tyrosine";"AccQ";5;"019_A2.cdf";0
"268";"Tyrosine";"AccQ";6;"019_A2.cdf";0
"269";"Tyrosine";"AccQ";7;"019_A2.cdf";0
"270";"Tyrosine";"AccQ";8;"019_A2.cdf";0
"271";"Tyrosine";"AccQ";9;"019_A2.cdf";0
"272";"Valine";"AccQ";0;"019_A2.cdf";2066825.58412932
"273";"Valine";"AccQ";1;"019_A2.cdf";399979.941219691
"274";"Valine";"AccQ";2;"019_A2.cdf";58158.7656135195
"275";"Valine";"AccQ";3;"019_A2.cdf";6959.85304922851
"276";"Valine";"AccQ";4;"019_A2.cdf";0
"277";"Valine";"AccQ";5;"019_A2.cdf";0
"278";"GABA";"AccQ";0;"019_A2.cdf";3826634.01175606
"279";"GABA";"AccQ";1;"019_A2.cdf";941523.063923586
"280";"GABA";"AccQ";2;"019_A2.cdf";120279.515062454
"281";"GABA";"AccQ";3;"019_A2.cdf";14914.2174871418
"282";"GABA";"AccQ";4;"019_A2.cdf";0
"283";"Glutamate";"AccQ";0;"019_A2.cdf";2590465.61351947
"284";"Glutamate";"AccQ";1;"019_A2.cdf";531186.08376194
"285";"Glutamate";"AccQ";2;"019_A2.cdf";90162.0573108009
"286";"Glutamate";"AccQ";3;"019_A2.cdf";11525.7090374724
"287";"Glutamate";"AccQ";4;"019_A2.cdf";224.922850844967
"288";"Glutamate";"AccQ";5;"019_A2.cdf";0
"289";"Ornithine";"2AccQ";0;"019_A2.cdf";11308.8978692138
"290";"Ornithine";"2AccQ";1;"019_A2.cdf";4620.4628949302
"291";"Ornithine";"2AccQ";2;"019_A2.cdf";662.946362968406
"292";"Ornithine";"2AccQ";3;"019_A2.cdf";47.9867744305658
"293";"Ornithine";"2AccQ";4;"019_A2.cdf";0
"294";"Ornithine";"2AccQ";5;"019_A2.cdf";0
"295";"Alanine";"AccQ";0;"020_A3.cdf";874646.133700896
"296";"Alanine";"AccQ";1;"020_A3.cdf";148739.813921433
"297";"Alanine";"AccQ";2;"020_A3.cdf";17138.4838042729
"298";"Alanine";"AccQ";3;"020_A3.cdf";1951.04755341144
"299";"Arginine";"AccQ";0;"020_A3.cdf";204340.578911096
"300";"Arginine";"AccQ";1;"020_A3.cdf";47534.4727773949
"301";"Arginine";"AccQ";2;"020_A3.cdf";6812.39145416954
"302";"Arginine";"AccQ";3;"020_A3.cdf";392.915230875258
"303";"Arginine";"AccQ";4;"020_A3.cdf";0
"304";"Arginine";"AccQ";5;"020_A3.cdf";0
"305";"Arginine";"AccQ";6;"020_A3.cdf";0
"306";"Asparagine";"AccQ";0;"020_A3.cdf";1155474.4658856
"307";"Asparagine";"AccQ";1;"020_A3.cdf";194213.211578222
"308";"Asparagine";"AccQ";2;"020_A3.cdf";32000.9717436251
"309";"Asparagine";"AccQ";3;"020_A3.cdf";3451.82632667126
"310";"Asparagine";"AccQ";4;"020_A3.cdf";99.7587870434183
"311";"Aspartate";"AccQ";0;"020_A3.cdf";1749959.26946933
"312";"Aspartate";"AccQ";1;"020_A3.cdf";299464.527911785
"313";"Aspartate";"AccQ";2;"020_A3.cdf";52518.566505858
"314";"Aspartate";"AccQ";3;"020_A3.cdf";6525.03101309442
"315";"Aspartate";"AccQ";4;"020_A3.cdf";0
"316";"Citrulline";"AccQ";0;"020_A3.cdf";99616.3473466575
"317";"Citrulline";"AccQ";1;"020_A3.cdf";21299.9586492074
"318";"Citrulline";"AccQ";2;"020_A3.cdf";3911.57133011716
"319";"Citrulline";"AccQ";3;"020_A3.cdf";491.254307374225
"320";"Citrulline";"AccQ";4;"020_A3.cdf";0
"321";"Citrulline";"AccQ";5;"020_A3.cdf";0
"322";"Citrulline";"AccQ";6;"020_A3.cdf";0
"323";"Glutamine";"AccQ";0;"020_A3.cdf";2698261.095796
"324";"Glutamine";"AccQ";1;"020_A3.cdf";597558.380427292
"325";"Glutamine";"AccQ";2;"020_A3.cdf";87957.6430048242
"326";"Glutamine";"AccQ";3;"020_A3.cdf";11799.3039283253
"327";"Glutamine";"AccQ";4;"020_A3.cdf";526.788421778084
"328";"Glutamine";"AccQ";5;"020_A3.cdf";0
"329";"Glycine";"AccQ";0;"020_A3.cdf";303213.135768436
"330";"Glycine";"AccQ";1;"020_A3.cdf";54305.0241212957
"331";"Glycine";"AccQ";2;"020_A3.cdf";6515.60303239145
"332";"Histidine";"AccQ";0;"020_A3.cdf";84900.0827015851
"333";"Histidine";"AccQ";1;"020_A3.cdf";15227.7532736044
"334";"Histidine";"AccQ";2;"020_A3.cdf";1573.76292212267
"335";"Histidine";"AccQ";3;"020_A3.cdf";0
"336";"Histidine";"AccQ";4;"020_A3.cdf";0
"337";"Histidine";"AccQ";5;"020_A3.cdf";0
"338";"Histidine";"AccQ";6;"020_A3.cdf";0
"339";"Isoleucine";"AccQ";0;"020_A3.cdf";4228891.17160579
"340";"Isoleucine";"AccQ";1;"020_A3.cdf";1024036.85044797
"341";"Isoleucine";"AccQ";2;"020_A3.cdf";145180.544452102
"342";"Isoleucine";"AccQ";3;"020_A3.cdf";16103.4458993797
"343";"Isoleucine";"AccQ";4;"020_A3.cdf";467.622329427981
"344";"Isoleucine";"AccQ";5;"020_A3.cdf";0
"345";"Isoleucine";"AccQ";6;"020_A3.cdf";0
"346";"Leucine";"AccQ";0;"020_A3.cdf";2327853.9076499
"347";"Leucine";"AccQ";1;"020_A3.cdf";434427.49827705
"348";"Leucine";"AccQ";2;"020_A3.cdf";64188.9317711923
"349";"Leucine";"AccQ";3;"020_A3.cdf";7554.5072363887
"350";"Leucine";"AccQ";4;"020_A3.cdf";0
"351";"Leucine";"AccQ";5;"020_A3.cdf";0
"352";"Leucine";"AccQ";6;"020_A3.cdf";0
"353";"Lysine";"AccQ";0;"020_A3.cdf";237573.921433494
"354";"Lysine";"AccQ";1;"020_A3.cdf";77631.0682288077
"355";"Lysine";"AccQ";2;"020_A3.cdf";13629.0420399724
"356";"Lysine";"AccQ";3;"020_A3.cdf";1689.37973811165
"357";"Lysine";"AccQ";4;"020_A3.cdf";0
"358";"Lysine";"AccQ";5;"020_A3.cdf";0
"359";"Lysine";"AccQ";6;"020_A3.cdf";0
"360";"Methionine";"AccQ";0;"020_A3.cdf";268436.760854583
"361";"Methionine";"AccQ";1;"020_A3.cdf";57892.8532046864
"362";"Methionine";"AccQ";2;"020_A3.cdf";13980.2136457615
"363";"Methionine";"AccQ";3;"020_A3.cdf";0
"364";"Methionine";"AccQ";4;"020_A3.cdf";0
"365";"Methionine";"AccQ";5;"020_A3.cdf";0
"366";"Norvaline";"AccQ";0;"020_A3.cdf";209240.089593384
"367";"Norvaline";"AccQ";1;"020_A3.cdf";48994.1281874569
"368";"Norvaline";"AccQ";2;"020_A3.cdf";7035.75465196416
"369";"Norvaline";"AccQ";3;"020_A3.cdf";1275.3066850448
"370";"Norvaline";"AccQ";4;"020_A3.cdf";0
"371";"Norvaline";"AccQ";5;"020_A3.cdf";0
"372";"Phenylalanine";"AccQ";0;"020_A3.cdf";1537286.21640248
"373";"Phenylalanine";"AccQ";1;"020_A3.cdf";327628.035837354
"374";"Phenylalanine";"AccQ";2;"020_A3.cdf";51950.4066161268
"375";"Phenylalanine";"AccQ";3;"020_A3.cdf";6607.64300482426
"376";"Phenylalanine";"AccQ";4;"020_A3.cdf";0
"377";"Phenylalanine";"AccQ";5;"020_A3.cdf";0
