Compound;Time;Labeling;Treatment;N;mean;sd;se
170;Glutamine;120min;L;Fe;5;0.9121211968;0.030216312334732;0.0135131456819652
171;Glutamine;120min;L;P;5;0.9839221238;0.00432688491490415;0.00193504176010882
172;Glutamine;120min;U;C;5;0.9881428954;0.00434858297153048;0.00194474542602804
173;Glutamine;120min;U;Fe;5;0.9922861032;0.000735498726201289;0.000328925029830118
174;Glutamine;120min;U;P;5;0.987450467;0.00454157049290899;0.00203105206935035
175;Glutamine;15min;L;C;5;0.975560375;0.00651137364822996;0.0029119748208686
176;Glutamine;15min;L;Fe;4;0.969306095;0.00349399043074228;0.00174699521537114
177;Glutamine;15min;L;P;5;0.9822601808;0.00247213900855144;0.00110557417458999
178;Glutamine;15min;U;C;5;0.9871538734;0.00467759925757781;0.0020918859822893
179;Glutamine;15min;U;Fe;5;0.981967568;0.0185556907909336;0.00829835719559888
180;Glutamine;15min;U;P;5;0.9853234886;0.00287745502002903;0.00128683700539659
181;Glutamine;30min;L;C;5;0.9422836258;0.0166317290131925;0.0074379353313708
182;Glutamine;30min;L;Fe;5;0.9403625428;0.00900644554279155;0.00402780489386638
183;Glutamine;30min;L;P;5;0.9805588098;0.00372236935371452;0.00166469418245353
184;Glutamine;30min;U;C;5;0.983268076;0.00345377044568138;0.00154457309904466
185;Glutamine;30min;U;Fe;5;0.9851738594;0.0105038040193166;0.00469744396190549
186;Glutamine;30min;U;P;5;0.9861244254;0.00120942968798657;0.000540873399268867
187;Glutamine;60min;L;C;5;0.9259956274;0.0197187879060664;0.00881851003837304
188;Glutamine;60min;L;Fe;5;0.9296507908;0.0165622177223562;0.00740684893706803
189;Glutamine;60min;L;P;5;0.9789105436;0.00589862293957751;0.00263794437330699
190;Glutamine;60min;U;C;5;0.98714859;0.00519478024377776;0.002323176350652
191;Glutamine;60min;U;Fe;5;0.9869413712;0.00574198958303954;0.00256789580675442
192;Glutamine;60min;U;P;5;0.9889532388;0.00287639357455066;0.00128636231254778
193;Glycine;120min;L;C;5;0.945051211;0.00326331023103142;0.00145939670165136
194;Glycine;120min;L;Fe;5;0.9533861524;0.00762050373299901;0.00340799287395534
195;Glycine;120min;L;P;5;0.9497237684;0.00643023473786141;0.00287568839702773
196;Glycine;120min;U;C;5;0.9531920606;0.0027276970734428;0.00121986321564907
197;Glycine;120min;U;Fe;5;0.9567846212;0.00758109453043587;0.00339036854278129
198;Glycine;120min;U;P;5;0.9506740194;0.00395946861029156;0.00177072819347771
199;Glycine;15min;L;C;5;0.9519862284;0.00417383492701967;0.00186659572473577
200;Glycine;15min;L;Fe;4;0.95308831475;0.00605694308250621;0.00302847154125311
201;Glycine;15min;L;P;5;0.955778928;0.00565501182801141;0.00252899817219977
202;Glycine;15min;U;C;5;0.9511131526;0.00350551444080063;0.00156771371714747
203;Glycine;15min;U;Fe;5;0.9583218084;0.00874150214991719;0.00390931860653508
204;Glycine;15min;U;P;5;0.9551972514;0.00937923705980362;0.00419452232856123
205;Glycine;30min;L;C;5;0.9458201502;0.00576018459087213;0.00257603286162738
206;Glycine;30min;L;Fe;5;0.952386014;0.00289322295751063;0.00129388864141135
207;Glycine;30min;L;P;5;0.9521353334;0.00913275887850399;0.00408429393488993
208;Glycine;30min;U;C;5;0.9522720986;0.00363574931603161;0.00162595652395901
209;Glycine;30min;U;Fe;5;0.953584085;0.0164627341530532;0.00736235853234686
210;Glycine;30min;U;P;5;0.9551499784;0.00715452431292593;0.00319960054207547
211;Glycine;60min;L;C;5;0.951072048;0.003763203970377;0.00168295597819202
212;Glycine;60min;L;Fe;5;0.9511840738;0.00707540282641731;0.00316421633761265
213;Glycine;60min;L;P;5;0.9556086086;0.00813232056616185;0.00363688432015149
214;Glycine;60min;U;C;5;0.9489552944;0.00309845139481891;0.00138566958875882
215;Glycine;60min;U;Fe;5;0.9510198996;0.00586631253780882;0.00262349472235996
216;Glycine;60min;U;P;5;0.9485345098;0.00633920474768819;0.00283497854782404
217;Histidine;120min;L;C;5;0.9736891538;0.0183522819838156;0.00820739001161128
218;Histidine;120min;L;Fe;5;0.9740601534;0.00631681474901096;0.00282496543601235
219;Histidine;120min;L;P;5;0.9569035318;0.0182279626404219;0.00815179271106199
220;Histidine;120min;U;C;5;0.9671840816;0.00388648799360389;0.00173809026948701
221;Histidine;120min;U;Fe;5;0.9795978658;0.00490369948570821;0.00219300107825486
222;Histidine;120min;U;P;5;0.9532500196;0.010887967682129;0.00486924717481224
223;Histidine;15min;L;C;5;0.9672400808;0.0144655994688469;0.0064692127495253
224;Histidine;15min;L;Fe;4;0.981609616;0.006729909253783;0.0033649546268915
225;Histidine;15min;L;P;5;0.9490855124;0.00428918918666077;0.0019181837179461
226;Histidine;15min;U;C;5;0.9745379732;0.00870431428673605;0.00389268768853288
227;Histidine;15min;U;Fe;5;0.963748971;0.0161652735104345;0.00722933008884165
228;Histidine;15min;U;P;5;0.9545445714;0.00352683677663474;0.00157724935562031
229;Histidine;30min;L;C;5;0.9774864228;0.00962747050542306;0.00430553570030005
230;Histidine;30min;L;Fe;5;0.9715689916;0.00730720627857423;0.00326788199290105
231;Histidine;30min;L;P;5;0.9518531478;0.00443554818715971;0.00198363745279301
232;Histidine;30min;U;C;5;0.9665149252;0.0125184417069956;0.00559841732584214
233;Histidine;30min;U;Fe;5;0.97279101;0.0143898004097328;0.00643531437976336
234;Histidine;30min;U;P;5;0.949352536;0.0043818834804306;0.00195963786634524
235;Histidine;60min;L;C;5;0.9737015972;0.00707579152329974;0.003164390168143
236;Histidine;60min;L;Fe;5;0.9794613296;0.00549136909761795;0.00245581491836308
237;Histidine;60min;L;P;5;0.9501117544;0.00550159275662614;0.0024603870776673
238;Histidine;60min;U;C;5;0.9784642414;0.00759180515437183;0.00339515847942174
239;Histidine;60min;U;Fe;5;0.9780081682;0.00484635172325272;0.00216735437921327
240;Histidine;60min;U;P;5;0.9591331282;0.0104513435093798;0.00467398290863489
241;Isoleucine;120min;L;C;5;0.9886634328;0.00276756066785928;0.00123769075703761
242;Isoleucine;120min;L;Fe;5;0.9879654354;0.00412678743722505;0.00184555544766547
243;Isoleucine;120min;L;P;5;0.990902766;0.00510130316961533;0.002281372132219
244;Isoleucine;120min;U;C;5;0.983835865;0.00886276873306923;0.0039635506712005
245;Isoleucine;120min;U;Fe;5;0.9893087716;0.0015166357415465;0.000678260123040756
246;Isoleucine;120min;U;P;5;0.987044177;0.00232821395089228;0.0010412089320717
247;Isoleucine;15min;L;C;5;0.9851746452;0.00406901753831373;0.00181971996346167
248;Isoleucine;15min;L;Fe;4;0.99156823;0.000734002440012736;0.000367001220006368
249;Isoleucine;15min;L;P;5;0.9846001324;0.00364675439257664;0.00163087814380946
250;Isoleucine;15min;U;C;5;0.9853624824;0.00344163344557113;0.00153914526758677
251;Isoleucine;15min;U;Fe;5;0.9780653448;0.024089668419429;0.0107732272282546
252;Isoleucine;15min;U;P;5;0.9876083338;0.002801730237715;0.00125297185322948
253;Isoleucine;30min;L;C;5;0.9888007804;0.00297200657695011;0.00132912174712738
254;Isoleucine;30min;L;Fe;5;0.989487502;0.00293749591337775;0.0013136881091881
255;Isoleucine;30min;L;P;5;0.9823358326;0.00359621104968078;0.00160827447370442
256;Isoleucine;30min;U;C;5;0.9862167106;0.00441921574554722;0.0019763333628562
257;Isoleucine;30min;U;Fe;5;0.9819190594;0.0207948561600925;0.00929974239125942
258;Isoleucine;30min;U;P;5;0.9874103012;0.00351649859582522;0.00157262598060955
259;Isoleucine;60min;L;C;5;0.9871696386;0.00311027202295526;0.00139095593436875
260;Isoleucine;60min;L;Fe;5;0.9901723848;0.00119394175971745;0.000533946987180787
261;Isoleucine;60min;L;P;5;0.989033749;0.00225977305728419;0.001010601233962
262;Isoleucine;60min;U;C;5;0.9894921572;0.00191079213194572;0.000854532219580477
263;Isoleucine;60min;U;Fe;5;0.9905486462;0.000941931239403481;0.000421244456287362
264;Isoleucine;60min;U;P;5;0.984452656;0.00400049570149122;0.00178907606644602
265;Leucine;120min;L;C;5;0.9823335118;0.00701520815273216;0.00313729646116397
266;Leucine;120min;L;Fe;5;0.9727488472;0.00744627740255321;0.00333007649028591
267;Leucine;120min;L;P;5;0.9806535522;0.0112074543769645;0.00501212596832403
268;Leucine;120min;U;C;5;0.9743056872;0.0164620733119686;0.00736206299522938
269;Leucine;120min;U;Fe;5;0.9664717792;0.00678195357371997;0.0030329818422171
270;Leucine;120min;U;P;5;0.9738271592;0.0113927729843593;0.00509500296905013
271;Leucine;15min;L;C;5;0.969218926;0.00623563070997934;0.00278865883001982
272;Leucine;15min;L;Fe;4;0.97236260375;0.00753861630177669;0.00376930815088835
273;Leucine;15min;L;P;5;0.9724940216;0.0105699663413991;0.00472703265185061
274;Leucine;15min;U;C;5;0.9786045846;0.00903120112713424;0.00403887592774898
275;Leucine;15min;U;Fe;5;0.9676831426;0.00974351208504357;0.00435743107234962
276;Leucine;15min;U;P;5;0.9696388034;0.011574071873083;0.00517608229693636
277;Leucine;30min;L;C;5;0.9759947724;0.00855585700278277;0.00382629557279798
278;Leucine;30min;L;Fe;5;0.9673401548;0.0110990090503505;0.00496362774389382
279;Leucine;30min;L;P;5;0.9707513462;0.00697606337891363;0.00311979038611955
280;Leucine;30min;U;C;5;0.977321966;0.00804407607110142;0.00359742018223244
281;Leucine;30min;U;Fe;5;0.9674187312;0.0121080235547635;0.00541487274832398
282;Leucine;30min;U;P;5;0.9724175044;0.00843517837749086;0.00377232645088119
283;Leucine;60min;L;C;5;0.9770019872;0.0109833831406124;0.00491191826506689
284;Leucine;60min;L;Fe;5;0.9703885286;0.006454838305034;0.00288669144676511
285;Leucine;60min;L;P;5;0.9769881596;0.00676176966582158;0.00302395532419462
286;Leucine;60min;U;C;5;0.9775385448;0.00959798417385913;0.00429234901194324
287;Leucine;60min;U;Fe;5;0.9746016452;0.00899436742888207;0.00402240339711806
288;Leucine;60min;U;P;5;0.9756825242;0.00536831462354215;0.00240078328456929
289;Lysine;120min;L;C;5;0.9560653858;0.0112593055964822;0.00503531453863559
290;Lysine;120min;L;Fe;5;0.9517623678;0.0186511566778519;0.00834105083813522
291;Lysine;120min;L;P;5;0.9657571708;0.0161257621830443;0.00721166008605651
292;Lysine;120min;U;C;5;0.971027897;0.0121563259010331;0.00543647421427026
293;Lysine;120min;U;Fe;5;0.9523754936;0.013227943024784;0.00591571596118223
294;Lysine;120min;U;P;5;0.9753159104;0.00632437958601646;0.00282834853396896
