Compound;Time;Labeling;Treatment;N;mean;sd;se
249;Isoleucine;15min;L;P;5;0.0153998678;0.00364675480688361;0.00163087832909317
250;Isoleucine;15min;U;C;5;0.0146375176;0.00344163344557113;0.00153914526758677
251;Isoleucine;15min;U;Fe;5;0.0219346552;0.0240896684194289;0.0107732272282546
252;Isoleucine;15min;U;P;5;0.0123916662;0.00280173023771503;0.00125297185322949
253;Isoleucine;30min;L;C;5;0.0111992196;0.00297200657695013;0.00132912174712739
254;Isoleucine;30min;L;Fe;5;0.010512498;0.00293749591337775;0.0013136881091881
255;Isoleucine;30min;L;P;5;0.0176641674;0.0035962110496808;0.00160827447370443
256;Isoleucine;30min;U;C;5;0.0137832894;0.0044192157455472;0.00197633336285619
257;Isoleucine;30min;U;Fe;5;0.0180809406;0.0207948561600925;0.00929974239125942
258;Isoleucine;30min;U;P;5;0.0125896988;0.00351649859582521;0.00157262598060955
259;Isoleucine;60min;L;C;5;0.0128303618;0.00311027172941396;0.00139095580309309
260;Isoleucine;60min;L;Fe;5;0.0098276154;0.00119394167579045;0.000533946949647491
261;Isoleucine;60min;L;P;5;0.010966251;0.00225977305728418;0.00101060123396199
262;Isoleucine;60min;U;C;5;0.0105078428;0.00191079213194573;0.000854532219580479
263;Isoleucine;60min;U;Fe;5;0.0094513538;0.000941931239403493;0.000421244456287368
264;Isoleucine;60min;U;P;5;0.0155473442;0.00400049593389453;0.00178907617037994
265;Leucine;120min;L;C;5;0.0176664882;0.00701520815273216;0.00313729646116397
266;Leucine;120min;L;Fe;5;0.0272511528;0.00744627740255322;0.00333007649028591
267;Leucine;120min;L;P;5;0.0193464478;0.0112074543769645;0.00501212596832402
268;Leucine;120min;U;C;5;0.0256943128;0.0164620733119686;0.00736206299522939
269;Leucine;120min;U;Fe;5;0.0335282212;0.00678195342935674;0.0030329817776559
270;Leucine;120min;U;P;5;0.0261728408;0.0113927729843594;0.00509500296905014
271;Leucine;15min;L;C;5;0.030781074;0.00623563070997934;0.00278865883001982
272;Leucine;15min;L;Fe;4;0.0276373965;0.00753861653739856;0.00376930826869928
273;Leucine;15min;L;P;5;0.0275059784;0.010569966341399;0.0047270326518506
274;Leucine;15min;U;C;5;0.0213954156;0.00903120133686246;0.00403887602154229
275;Leucine;15min;U;Fe;5;0.0323168576;0.00974351176232485;0.00435743092802543
276;Leucine;15min;U;P;5;0.0303611966;0.0115740718730829;0.00517608229693636
277;Leucine;30min;L;C;5;0.0240052276;0.00855585700278276;0.00382629557279797
278;Leucine;30min;L;Fe;5;0.0326598452;0.0110990090503505;0.00496362774389381
279;Leucine;30min;L;P;5;0.029248654;0.00697606362484396;0.00311979049610294
280;Leucine;30min;U;C;5;0.0226780344;0.00804407617246824;0.00359742022756506
